38, 34, 39, 37, 1.48
37, 33, 35, 36, 1.41
40, 33, 35, 37, 1.45
37, 35, 37, 39, 1.48
39, 35, 37, 39, 1.5
41, 39, 37, 41, 1.58
40, 44, 40, 43, 1.67
40, 45, 44, 45, 1.74
40, 45, 45, 45, 1.75
39, 44, 43, 46, 1.72
42, 44, 45, 48, 1.79
42, 39, 44, 45, 1.7
42, 43, 48, 46, 1.79
41, 43, 45, 48, 1.77
44, 41, 41, 46, 1.72
43, 45, 43, 47, 1.78
42, 47, 42, 43, 1.74
45, 50, 42, 44, 1.81
43, 51, 48, 46, 1.8800000000000001
43, 51, 49, 51, 1.94
46, 52, 46, 54, 1.98
46, 53, 46, 50, 1.95
44, 54, 44, 49, 1.9100000000000001
45, 52, 45, 49, 1.9100000000000001
46, 50, 46, 45, 1.87
44, 43, 44, 43, 1.74
43, 42, 42, 42, 1.69
44, 42, 38, 41, 1.6500000000000001
41, 40, 34, 39, 1.54
42, 40, 38, 42, 1.62
41, 38, 38, 40, 1.57
40, 39, 38, 40, 1.57
40, 38, 39, 41, 1.58
40, 40, 41, 45, 1.6600000000000001
38, 41, 39, 46, 1.6400000000000001
36, 43, 38, 48, 1.6500000000000001
39, 43, 40, 49, 1.71
40, 41, 38, 50, 1.69
39, 42, 37, 48, 1.6600000000000001
38, 43, 34, 47, 1.62
38, 46, 31, 45, 1.6
37, 39, 34, 51, 1.61
37, 43, 34, 52, 1.6600000000000001
40, 46, 38, 54, 1.78
41, 47, 42, 52, 1.82
39, 47, 43, 51, 1.8
37, 48, 45, 55, 1.85
34, 48, 42, 57, 1.81
34, 44, 40, 56, 1.74
33, 38, 38, 53, 1.62
38, 42, 40, 56, 1.76
42, 45, 46, 53, 1.86
41, 45, 45, 53, 1.84
38, 46, 44, 49, 1.77
36, 46, 44, 48, 1.74
41, 48, 47, 50, 1.86
41, 49, 48, 51, 1.8900000000000001
42, 51, 49, 50, 1.92
49, 52, 50, 51, 2.02
47, 48, 51, 53, 1.99
49, 52, 48, 54, 2.0300000000000002
49, 51, 51, 52, 2.0300000000000002
47, 47, 51, 49, 1.94
48, 49, 52, 49, 1.98
52, 52, 59, 50, 2.13
51, 52, 57, 49, 2.09
51, 56, 54, 52, 2.13
56, 55, 54, 52, 2.17
51, 53, 56, 51, 2.11
51, 51, 56, 48, 2.06
53, 53, 59, 53, 2.18
52, 54, 56, 50, 2.12
52, 57, 56, 55, 2.2
50, 54, 54, 49, 2.07
48, 52, 53, 42, 1.95
49, 57, 55, 43, 2.04
49, 53, 53, 41, 1.96
51, 51, 53, 39, 1.94
47, 53, 53, 39, 1.92
46, 56, 49, 43, 1.94
44, 55, 47, 43, 1.8900000000000001
42, 57, 47, 44, 1.9000000000000001
49, 59, 47, 46, 2.0100000000000002
58, 62, 48, 50, 2.18
64, 63, 49, 52, 2.2800000000000002
58, 60, 46, 47, 2.11
54, 57, 41, 48, 2.0
58, 60, 42, 43, 2.0300000000000002
57, 58, 40, 43, 1.98
56, 61, 39, 40, 1.96
57, 62, 40, 42, 2.0100000000000002
57, 65, 42, 46, 2.1
61, 70, 45, 53, 2.29
58, 64, 43, 52, 2.17
61, 63, 41, 54, 2.19
62, 65, 45, 57, 2.29
64, 63, 43, 58, 2.2800000000000002
67, 62, 39, 60, 2.2800000000000002
69, 64, 38, 62, 2.33
68, 67, 43, 64, 2.42
71, 69, 47, 66, 2.5300000000000002
72, 76, 47, 72, 2.67
69, 73, 45, 79, 2.66
64, 70, 45, 74, 2.5300000000000002
64, 67, 45, 74, 2.5
62, 62, 44, 71, 2.39
62, 67, 47, 73, 2.49
63, 61, 51, 71, 2.46
62, 61, 46, 67, 2.36
69, 62, 48, 71, 2.5
70, 57, 46, 71, 2.44
66, 56, 42, 65, 2.29
60, 54, 45, 63, 2.22
61, 54, 46, 61, 2.22
59, 53, 47, 57, 2.16
61, 60, 50, 57, 2.2800000000000002
62, 61, 46, 57, 2.2600000000000002
59, 64, 50, 59, 2.32
63, 69, 55, 64, 2.5100000000000002
61, 64, 52, 63, 2.4
68, 66, 55, 59, 2.48
